Category,Breed,Current %,Proposed %,Tier,Rationale,Notes
Breeding Cow,Angus,28,28,Premium,Gold standard for meat quality marbling temperament,Keep as is
Breeding Cow,Red Angus,28,28,Premium,Same quality as Angus heat tolerance bonus,Keep as is
Breeding Cow,Black Angus,28,28,Premium,Same as Angus (just color variant),Keep as is
Breeding Cow,Wagyu,28,35,Premium,HIGHEST marbling/value rare export premium,INCREASE
Breeding Cow,Angus X Friesian,20,20,Premium Crossbreed,Combines Angus quality with Friesian size,Keep as is
Breeding Cow,Charolais X Angus,20,22,Premium Crossbreed,Excellent growth hybrid vigor,INCREASE slightly
Breeding Cow,Black Baldy,20,18,Premium Crossbreed,(Hereford X Angus) Good all-rounder,DECREASE slightly
Breeding Cow,Black Hereford,20,18,Premium Crossbreed,Good beef qualities,DECREASE slightly
Breeding Cow,Limousin X Friesian,0,15,Premium Crossbreed,Lean meat good for crossbreeding,ADD
Breeding Cow,Murray Grey X Friesian,0,15,Premium Crossbreed,Docile good growth,ADD
Breeding Cow,Hereford,0,10,Standard European,Classic beef breed good mothering,ADD
Breeding Cow,Poll Hereford,0,10,Standard European,Polled version (no horns),ADD
Breeding Cow,Charolais,0,12,Standard European,Excellent growth muscling,ADD
Breeding Cow,Limousin,0,10,Standard European,Lean meat good yield,ADD
Breeding Cow,Murray Grey,0,10,Standard European,Silver color docile tender meat,ADD
Breeding Cow,Simmental,0,10,Standard European,Large frame good milk production,ADD
Breeding Cow,Shorthorn,0,8,Standard European,Dual purpose (beef/milk),ADD
Breeding Cow,Brahman,12,12,Tropical/Composite,Heat/tick tolerant northern markets,Keep as is
Breeding Cow,Droughtmaster,12,15,Tropical/Composite,(Brahman X Shorthorn) Tropical adaptation + beef quality,INCREASE
Breeding Cow,Brangus,12,18,Tropical/Composite,(Brahman X Angus) Best of both - quality + adaptation,INCREASE
Breeding Cow,Santa Gertrudis,12,12,Tropical/Composite,(Brahman X Shorthorn) Good for harsh climates,Keep as is
Breeding Cow,Charbray,12,12,Tropical/Composite,(Charolais X Brahman) Size + adaptation,Keep as is
Breeding Cow,Friesian,8,5,Dairy/Dual Purpose,Dairy breed lower meat quality but good milk,DECREASE
Breeding Cow,Friesian Cross,8,5,Dairy/Dual Purpose,Mixed dairy genetics,DECREASE
Breeding Cow,Holstein,0,5,Dairy/Dual Purpose,Similar to Friesian,ADD
Breeding Cow,Cross Breed,15,0,BASELINE,THIS SHOULD BE BASELINE,SET AS BASELINE
Breeding Cow,European Cross,15,0,BASELINE,Generic European mix,SET AS BASELINE
